NEIGHBORHOOD,TYPE OF HOME,TOTAL NO. OF PROPERTIES,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
CHELSEA                  ,2,81,2,995000.0,2872500.0,2872500.0,4750000.0
CHELSEA                  ,3,64,1,3800000.0,3800000.0,3800000.0,3800000.0
EAST VILLAGE             ,1,22,1,7926432.0,7926432.0,7926432.0,7926432.0
EAST VILLAGE             ,2,39,2,3085000.0,3892500.0,3892500.0,4700000.0
EAST VILLAGE             ,3,18,1,2400000.0,2400000.0,2400000.0,2400000.0
GRAMERCY                 ,3,13,1,3450000.0,3450000.0,3450000.0,3450000.0
GREENWICH VILLAGE-CENTRAL,1,72,3,2100000.0,9798000.0,12219000.0,15075000.0
GREENWICH VILLAGE-CENTRAL,2,55,4,2350000.0,6662500.0,4450000.0,15400000.0
GREENWICH VILLAGE-WEST   ,1,253,4,1764000.0,6034750.0,4712500.0,12950000.0
GREENWICH VILLAGE-WEST   ,2,281,10,3325000.0,5371486.0,5337430.0,8250000.0
GREENWICH VILLAGE-WEST   ,3,130,3,449249.0,4466416.0,5700000.0,7250000.0
HARLEM-CENTRAL           ,1,201,7,408771.0,954566.0,955950.0,1499000.0
HARLEM-CENTRAL           ,2,464,11,320000.0,1129825.0,1098300.0,1850000.0
HARLEM-CENTRAL           ,3,563,13,487424.0,1110204.0,938948.0,2575000.0
HARLEM-EAST              ,2,59,2,788376.0,799622.0,799622.0,810867.0
HARLEM-UPPER             ,1,80,1,850000.0,850000.0,850000.0,850000.0
HARLEM-UPPER             ,2,187,1,1200000.0,1200000.0,1200000.0,1200000.0
HARLEM-UPPER             ,3,105,4,739000.0,1113500.0,1007500.0,1700000.0
HARLEM-WEST              ,2,9,2,766036.0,767385.0,767385.0,768734.0
INWOOD                   ,2,81,2,563831.0,594666.0,594666.0,625500.0
LITTLE ITALY             ,1,10,1,3335000.0,3335000.0,3335000.0,3335000.0
LITTLE ITALY             ,3,4,1,19500000.0,19500000.0,19500000.0,19500000.0
MANHATTAN VALLEY         ,1,16,1,3050000.0,3050000.0,3050000.0,3050000.0
MANHATTAN VALLEY         ,3,11,1,990000.0,990000.0,990000.0,990000.0
MIDTOWN EAST             ,1,80,2,3500000.0,7050000.0,7050000.0,10600000.0
MIDTOWN EAST             ,2,45,2,1157446.0,2328723.0,2328723.0,3500000.0
MURRAY HILL              ,2,50,1,7282040.0,7282040.0,7282040.0,7282040.0
SOHO                     ,1,23,1,5500000.0,5500000.0,5500000.0,5500000.0
UPPER EAST SIDE (59-79)  ,1,475,16,2050000.0,8963125.0,7600000.0,24925000.0
UPPER EAST SIDE (59-79)  ,2,184,4,2750000.0,6325000.0,5525000.0,11500000.0
UPPER EAST SIDE (59-79)  ,3,30,2,5700000.0,7725000.0,7725000.0,9750000.0
UPPER EAST SIDE (79-96)  ,1,335,12,1750000.0,8402707.0,5957500.0,25000000.0
UPPER EAST SIDE (79-96)  ,2,143,1,14300000.0,14300000.0,14300000.0,14300000.0
UPPER EAST SIDE (79-96)  ,3,48,2,2750000.0,2750000.0,2750000.0,2750000.0
UPPER WEST SIDE (59-79)  ,1,64,2,4550000.0,9775000.0,9775000.0,15000000.0
UPPER WEST SIDE (59-79)  ,3,28,2,4000000.0,4650000.0,4650000.0,5300000.0
UPPER WEST SIDE (79-96)  ,1,112,3,4000000.0,5078667.0,5020000.0,6216000.0
UPPER WEST SIDE (79-96)  ,2,114,2,4700000.0,5925000.0,5925000.0,7150000.0
WASHINGTON HEIGHTS LOWER ,1,36,1,703951.0,703951.0,703951.0,703951.0
WASHINGTON HEIGHTS LOWER ,2,89,1,390000.0,390000.0,390000.0,390000.0
WASHINGTON HEIGHTS LOWER ,3,48,2,530000.0,804662.0,804662.0,1079323.0
