neighborhood,home_type,number_properties,sales,lowest_sale,avg_sale,median_sale,highest_sale,zip_code,location,poverty_percent,median_income
Chelsea,2,81,2,995000.0,2872500.0,2872500.0,4750000.0,10001,M,14,101409
Chelsea,3,64,1,3800000.0,3800000.0,3800000.0,3800000.0,10001,M,14,101409
East Village,1,22,1,7926432.0,7926432.0,7926432.0,7926432.0,10009,D,24,77551
East Village,2,39,2,3085000.0,3892500.0,3892500.0,4700000.0,10009,D,24,77551
East Village,3,18,1,2400000.0,2400000.0,2400000.0,2400000.0,10009,D,24,77551
Gramercy,3,13,1,3450000.0,3450000.0,3450000.0,3450000.0,10003,M,11,137533
Central Greenwich Village,1,72,3,2100000.0,9798000.0,12219000.0,15075000.0,10011,D,10,139343
Central Greenwich Village,2,55,4,2350000.0,6662500.0,4450000.0,15400000.0,10011,D,10,139343
West Greenwich Village,1,253,4,1764000.0,6034750.0,4712500.0,12950000.0,10014,D,7,136559
West Greenwich Village,2,281,10,3325000.0,5371486.0,5337430.0,8250000.0,10014,D,7,136559
West Greenwich Village,3,130,3,449249.0,4466416.0,5700000.0,7250000.0,10014,D,7,136559
Central Harlem,1,201,7,408771.0,954566.0,955950.0,1499000.0,10027,U,23,58435
Central Harlem,2,464,11,320000.0,1129825.0,1098300.0,1850000.0,10027,U,23,58435
Central Harlem,3,563,13,487424.0,1110204.0,938948.0,2575000.0,10027,U,23,58435
East Harlem,2,59,2,788376.0,799622.0,799622.0,810867.0,10035,U,34,32555
Upper Harlem,1,80,1,850000.0,850000.0,850000.0,850000.0,10039,U,27,50164
Upper Harlem,2,187,1,1200000.0,1200000.0,1200000.0,1200000.0,10039,U,27,50164
Upper Harlem,3,105,4,739000.0,1113500.0,1007500.0,1700000.0,10039,U,27,50164
West Harlem,2,9,2,766036.0,767385.0,767385.0,768734.0,10031,U,24,57180
Inwood,2,81,2,563831.0,594666.0,594666.0,625500.0,10034,U,16,63851
Little Italy,1,10,1,3335000.0,3335000.0,3335000.0,3335000.0,10013,D,10,137572
Little Italy,3,4,1,19500000.0,19500000.0,19500000.0,19500000.0,10013,D,10,137572
Manhattan Valley,1,16,1,3050000.0,3050000.0,3050000.0,3050000.0,10025,UWS,14,103440
Manhattan Valley,3,11,1,990000.0,990000.0,990000.0,990000.0,10025,UWS,14,103440
Midtown East,1,80,2,3500000.0,7050000.0,7050000.0,10600000.0,10022,M,6,156255
Midtown East,2,45,2,1157446.0,2328723.0,2328723.0,3500000.0,10022,M,6,156255
Murray Hill,2,50,1,7282040.0,7282040.0,7282040.0,7282040.0,10016,M,9,136431
SoHo,1,23,1,5500000.0,5500000.0,5500000.0,5500000.0,10012,D,12,117581
Upper East Side (59-79),1,475,16,2050000.0,8963125.0,7600000.0,24925000.0,10021,UES,5,136060
Upper East Side (59-79),2,184,4,2750000.0,6325000.0,5525000.0,11500000.0,10021,UES,5,136060
Upper East Side (59-79),3,30,2,5700000.0,7725000.0,7725000.0,9750000.0,10021,UES,5,136060
Upper East Side (79-96),1,335,12,1750000.0,8402707.0,5957500.0,25000000.0,10028,UES,5,149789
Upper East Side (79-96),2,143,1,14300000.0,14300000.0,14300000.0,14300000.0,10028,UES,5,149789
Upper East Side (79-96),3,48,2,2750000.0,2750000.0,2750000.0,2750000.0,10028,UES,5,149789
Upper West Side (59-79),1,64,2,4550000.0,9775000.0,9775000.0,15000000.0,10023,UWS,8,136109
Upper West Side (59-79),3,28,2,4000000.0,4650000.0,4650000.0,5300000.0,10023,UWS,8,136109
Upper West Side (79-96),1,112,3,4000000.0,5078667.0,5020000.0,6216000.0,10024,UWS,8,153177
Upper West Side (79-96),2,114,2,4700000.0,5925000.0,5925000.0,7150000.0,10024,UWS,8,153177
Washington Heights Lower,1,36,1,703951.0,703951.0,703951.0,703951.0,10032,U,19,55059
Washington Heights Lower,2,89,1,390000.0,390000.0,390000.0,390000.0,10032,U,19,55059
Washington Heights Lower,3,48,2,530000.0,804662.0,804662.0,1079323.0,10032,U,19,55059
