Neighborhood,Location in Manhattan,Home Type,Home Type (Numeric),Number of Properties,Number of Sales,Lowest Sale Price (USD),Average Sale Price (USD),Median Sale Price (USD),Highest Sale Price (USD),Zip Code,Percent of Neighborhood in Poverty,Median Income (USD),Housing Price to Income Ratio,Weighted Average Sale Price (USD),BLDGZIP,PO_NAME,POPULATION,AREA,STATE,COUNTY,ST_FIPS,CTY_FIPS,URL,SHAPE_AREA,SHAPE_LEN
Chelsea,Midtown,Two Family Homes,2,81,2,995000,2872500,2872500,4750000,10001,14,101409,14.1629,3181667,0,New York,22413.00000000,17794940.77270890,NY,New York,36,061,http://www.usps.com/,0.00000000000,0.00000000000
Chelsea,Midtown,Three Family Homes,3,64,1,3800000,3800000,3800000,3800000,10001,14,101409,12.4907,3181667,0,New York,22413.00000000,17794940.77270890,NY,New York,36,061,http://www.usps.com/,0.00000000000,0.00000000000
Gramercy,Midtown,Three Family Homes,3,13,1,3450000,3450000,3450000,3450000,10003,11,137533,8.3616,3450000,0,New York,55878.00000000,15538376.26966630,NY,New York,36,061,http://www.usps.com/,0.00000000000,0.00000000000
East Village,Downtown,Single-Family Homes,1,22,1,7926432,7926432,7926432,7926432,10009,24,77551,102.2093,4527858,0,New York,61455.00000000,15903519.30122840,NY,New York,36,061,http://www.usps.com/,0.00000000000,0.00000000000
East Village,Downtown,Two Family Homes,2,39,2,3085000,3892500,3892500,4700000,10009,24,77551,25.0964,4527858,0,New York,61455.00000000,15903519.30122840,NY,New York,36,061,http://www.usps.com/,0.00000000000,0.00000000000
East Village,Downtown,Three Family Homes,3,18,1,2400000,2400000,2400000,2400000,10009,24,77551,10.3158,4527858,0,New York,61455.00000000,15903519.30122840,NY,New York,36,061,http://www.usps.com/,0.00000000000,0.00000000000
Central Greenwich Village,Downtown,Single-Family Homes,1,72,3,2100000,9798000,12219000,15075000,10011,10,139343,87.6901,8006286,0,New York,50594.00000000,18118416.84632680,NY,New York,36,061,http://www.usps.com/,0.00000000000,0.00000000000
Central Greenwich Village,Downtown,Two Family Homes,2,55,4,2350000,6662500,4450000,15400000,10011,10,139343,15.9678,8006286,0,New York,50594.00000000,18118416.84632680,NY,New York,36,061,http://www.usps.com/,0.00000000000,0.00000000000
SoHo,Downtown,Single-Family Homes,1,23,1,5500000,5500000,5500000,5500000,10012,12,117581,46.7763,5500000,0,New York,24276.00000000,9193738.99955164,NY,New York,36,061,http://www.usps.com/,0.00000000000,0.00000000000
Little Italy,Downtown,Single-Family Homes,1,10,1,3335000,3335000,3335000,3335000,10013,10,137572,24.2419,11417500,0,New York,27985.00000000,15580578.83358040,NY,New York,36,061,http://www.usps.com/,0.00000000000,0.00000000000
