Tax Year,Size of Earned Income,"Number of Claims, Zero Qualifying Children","Credit Amount Claimed, Zero Qualifying Children ($000)","Average Credit, Zero Qualifying Children","Number of Claims, One Qualifying Child","Credit Amount Claimed, One Qualifying Child ($000)","Average Credit, One Qualifying Child","Number of Claims, More than One Qualifying Child *","Credit Amount Claimed, More than One Qualifying Child ($000) *","Average Credit, More than One Qualifying Child *","Number of Claims, Two Qualifying Children **","Credit Amount Claimed, Two Qualifying Children ($000) **","Average Credit, Two Qualifying Children **","Number of Claims, More than Two Qualifying Children **","Credit Amount Claimed, More than Two Qualifying Children ($000) **","Average Credit, More than Two Qualifying Children **","Number of Claims, Total","Credit Amount Claimed, Total ($000)","Average Credit, Total"
2013,"$0 - $4,000",58723,668,11,11128,442,40,0,0,0,3898,175,45,1185,57,48,74934,1341,18
2013,"$4,001 - $8,000",103666,2207,21,28001,2961,106,0,0,0,9265,1152,124,2624,363,138,143556,6683,47
2013,"$8,001 - $12,000",87726,1544,18,69688,10915,157,0,0,0,19238,3912,203,6073,1399,230,182725,17770,97
2013,"$12,001 - $16,000",38965,364,9,48673,7772,160,0,0,0,41512,10839,261,14378,4235,295,143528,23211,162
2013,"$16,001 - $20,000",7067,51,7,40489,6222,154,0,0,0,29593,7676,259,12367,3648,295,89516,17598,197
2013,"$20,001 - $24,000",0,0,1,35409,4617,130,0,0,0,0,0,233,10519,2932,279,69038,12941,187
2013,"$24,001 - $28,000",0,0,0,30473,3078,101,0,0,0,19567,3819,195,7933,1915,241,57973,8812,152
2013,"$28,001 - $32,000",0,0,1,0,0,69,0,0,0,17023,2592,152,6705,1311,195,49901,5703,114
2013,"$32,001 - $36,000",0,0,1,0,0,38,0,0,0,15459,1682,109,5968,905,152,44841,3465,77
2013,"$36,001 - $40,000",0,0,1,0,0,19,0,0,0,12655,860,68,4864,539,111,27932,1602,57
2013,"$40,001 - $44,000",0,4834,1,0,0,13,0,0,0,7870,294,37,3873,275,71,14282,602,42
2013,"$44,001 - $48,000",0,0,0,0,0,1,0,0,0,0,0,24,2645,113,43,5478,181,33
2013,"$48,001 AND OVER",0,0,1,0,0,1,0,0,0,189,0,2,1263,24,19,1454,24,17
2012,"$0 - $4,000",56090,663,12,12673,490,39,0,0,0,4626,206,44,1363,67,49,74752,1426,19
2012,"$4,001 - $8,000",100339,2129,21,30028,3159,105,0,0,0,10437,1294,124,2983,419,141,143787,7001,49
2012,"$8,001 - $12,000",83035,1369,16,67902,10350,152,0,0,0,22002,4452,202,6792,1560,230,179731,17731,99
2012,"$12,001 - $16,000",32005,294,9,48182,7430,154,0,0,0,41033,10473,255,14199,4090,288,135419,22286,165
2012,"$16,001 - $20,000",5594,36,6,39487,5808,147,0,0,0,29975,7478,249,12323,3516,285,87379,16838,193
2012,"$20,001 - $24,000",0,0,1,0,0,123,0,0,0,22833,5058,222,10470,2807,268,67705,12088,179
2012,"$24,001 - $28,000",0,0,0,29756,2752,92,0,0,0,19426,3514,181,7685,1737,226,56867,8002,141
2012,"$28,001 - $32,000",0,0,0,25721,1572,61,0,0,0,17215,2394,139,6700,1207,180,49636,5174,104
2012,"$32,001 - $36,000",0,0,0,22368,674,30,0,0,0,15771,1517,96,5946,816,137,44085,3007,68
2012,"$36,001 - $40,000",0,0,1,6632,126,19,0,0,0,0,0,57,4898,479,98,24013,1317,55
2012,"$40,001 - $44,000",0,0,1,1565,13,8,0,0,0,0,0,33,0,0,58,11547,438,38
2012,"$44,001 - $48,000",0,0,0,0,0,1,0,0,0,2170,36,16,2056,75,37,4227,111,26
2012,"$48,001 AND OVER",0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,745,9,12
2011,"$0 - $4,000",55142,549,10,12590,498,40,0,0,0,4380,199,45,1229,63,51,73341,1308,18
2011,"$4,001 - $8,000",101576,2098,21,32825,3485,106,0,0,0,11280,1409,125,3142,443,141,148823,7435,50
2011,"$8,001 - $12,000",78569,1204,15,74415,11204,151,0,0,0,24742,5021,203,7544,1731,230,185270,19161,103
2011,"$12,001 - $16,000",27337,233,9,49465,7478,151,0,0,0,43078,10810,251,14560,4114,283,134440,22635,168
2011,"$16,001 - $20,000",4466,24,5,39426,5574,141,0,0,0,30890,7465,242,12572,3491,278,87354,16554,189
2011,"$20,001 - $24,000",0,0,0,34810,4036,116,0,0,0,23758,5025,212,10415,2681,257,68983,11742,170
2011,"$24,001 - $28,000",0,0,0,30791,2625,85,0,0,0,20234,3433,170,7710,1642,213,58735,7700,131
2011,"$28,001 - $32,000",0,0,1,0,0,54,0,0,0,18067,2299,127,6623,1112,168,51268,4840,94
2011,"$32,001 - $36,000",17,0,1,22690,531,23,0,0,0,16149,1375,85,6017,750,125,44873,2657,59
2011,"$36,001 - $40,000",0,0,0,3587,86,24,0,0,0,12423,577,46,4966,425,86,20976,1088,52
