Tax Year,Income Range,Children,Number of Claims,Credit Amount Claimed,Avg Credit
2004,"$0 - $4,000",0,49020,443,9
2004,"$0 - $4,000",1,15110,644,43
2004,"$0 - $4,000",1+,7598,381,50
2004,"$4,001 - $8,000",0,81895,1417,17
2004,"$4,001 - $8,000",1,49561,5449,110
2004,"$4,001 - $8,000",1+,22051,2777,126
2004,"$8,001 - $12,000",0,42935,334,8
2004,"$8,001 - $12,000",1,52150,6690,128
2004,"$8,001 - $12,000",1+,47435,9453,199
2004,"$12,001 - $16,000",0,529,1,1
2004,"$12,001 - $16,000",1,44196,5430,123
2004,"$12,001 - $16,000",1+,43957,9084,207
2004,"$16,001 - $20,000",0,0,0,0
2004,"$16,001 - $20,000",1,41419,3976,96
2004,"$16,001 - $20,000",1+,35470,6070,171
2004,"$20,001 - $24,000",0,0,0,0
2004,"$20,001 - $24,000",1,37663,2483,66
2004,"$20,001 - $24,000",1+,33466,4356,130
2004,"$24,001 - $28,000",0,0,0,0
2004,"$24,001 - $28,000",1,32415,1127,35
2004,"$24,001 - $28,000",1+,31750,2832,89
2004,"$28,001 - $32,000",0,0,0,0
2004,"$28,001 - $32,000",1,15692,177,11
2004,"$28,001 - $32,000",1+,28909,1395,48
2004,"$32,001 AND OVER",0,0,0,0
2004,"$32,001 AND OVER",1,0,0,0
2004,"$32,001 AND OVER",1+,14593,219,15
2005,"$0 - $4,000",0,47902,440,9
2005,"$0 - $4,000",1,14235,686,48
2005,"$0 - $4,000",1+,7158,480,67
2005,"$4,001 - $8,000",0,81608,1457,18
2005,"$4,001 - $8,000",1,46025,5111,111
2005,"$4,001 - $8,000",1+,18340,2322,127
2005,"$8,001 - $12,000",0,51229,437,9
2005,"$8,001 - $12,000",1,52851,6957,132
2005,"$8,001 - $12,000",1+,44313,8957,202
2005,"$12,001 - $16,000",0,2478,8,3
2005,"$12,001 - $16,000",1,45450,5803,128
2005,"$12,001 - $16,000",1+,45371,9717,214
2005,"$16,001 - $20,000",0,0,0,0
2005,"$16,001 - $20,000",1,41278,4279,104
2005,"$16,001 - $20,000",1+,36623,6755,184
2005,"$20,001 - $24,000",0,0,0,0
2005,"$20,001 - $24,000",1,37456,2731,73
2005,"$20,001 - $24,000",1+,33180,4710,142
2005,"$24,001 - $28,000",0,0,0,0
2005,"$24,001 - $28,000",1,32138,1336,42
2005,"$24,001 - $28,000",1+,31104,3143,101
2005,"$28,001 - $32,000",0,0,0,5
2005,"$28,001 - $32,000",1,22034,324,15
2005,"$28,001 - $32,000",1+,28243,1682,60
2005,"$32,001 AND OVER",0,0,0,0
2005,"$32,001 AND OVER",1,863,3,4
2005,"$32,001 AND OVER",1+,19764,433,22
2006,"$0 - $4,000",0,46566,428,9
2006,"$0 - $4,000",1,15189,853,56
2006,"$0 - $4,000",1+,10068,1027,102
2006,"$4,001 - $8,000",0,87412,1600,18
2006,"$4,001 - $8,000",1,43810,4849,111
2006,"$4,001 - $8,000",1+,17487,2224,127
2006,"$8,001 - $12,000",0,57788,549,9
2006,"$8,001 - $12,000",1,60353,8208,136
2006,"$8,001 - $12,000",1+,46776,9635,206
2006,"$12,001 - $16,000",0,2870,13,4
2006,"$12,001 - $16,000",1,48553,6478,133
2006,"$12,001 - $16,000",1+,51296,11405,222
2006,"$16,001 - $20,000",0,0,0,0
2006,"$16,001 - $20,000",1,41815,4667,112
2006,"$16,001 - $20,000",1+,36654,7194,196
2006,"$20,001 - $24,000",0,0,0,0
2006,"$20,001 - $24,000",1,38375,3084,80
2006,"$20,001 - $24,000",1+,32229,4948,154
2006,"$24,001 - $28,000",0,0,0,0
2006,"$24,001 - $28,000",1,32990,1614,49
2006,"$24,001 - $28,000",1+,30425,3409,112
2006,"$28,001 - $32,000",0,0,0,0
2006,"$28,001 - $32,000",1,28392,522,18
2006,"$28,001 - $32,000",1+,27958,1973,71
2006,"$32,001 AND OVER",0,0,0,0
2006,"$32,001 AND OVER",1,1684,14,8
2006,"$32,001 AND OVER",1+,25591,709,28
2007,"$0 - $4,000",0,51316,472,9
2007,"$0 - $4,000",1,11355,486,43
2007,"$0 - $4,000",1+,5126,260,51
2007,"$4,001 - $8,000",0,94163,1802,19
2007,"$4,001 - $8,000",1,40345,4444,110
2007,"$4,001 - $8,000",1+,16090,2044,127
2007,"$8,001 - $12,000",0,62191,690,11
2007,"$8,001 - $12,000",1,81721,11526,141
2007,"$8,001 - $12,000",1+,48838,10201,209
2007,"$12,001 - $16,000",0,7728,26,3
2007,"$12,001 - $16,000",1,49828,6952,140
2007,"$12,001 - $16,000",1+,63386,14758,233
2007,"$16,001 - $20,000",0,0,0,0
2007,"$16,001 - $20,000",1,43573,5287,121
2007,"$16,001 - $20,000",1+,39805,8427,212
2007,"$20,001 - $24,000",0,0,0,0
2007,"$20,001 - $24,000",1,39023,3509,90
2007,"$20,001 - $24,000",1+,33765,5699,169
2007,"$24,001 - $28,000",0,0,0,0
2007,"$24,001 - $28,000",1,33885,1983,59
2007,"$24,001 - $28,000",1+,30043,3820,127
2007,"$28,001 - $32,000",0,0,0,0
2007,"$28,001 - $32,000",1,29945,817,27
2007,"$28,001 - $32,000",1+,27784,2360,85
2007,"$32,001 AND OVER",0,0,0,0
2007,"$32,001 AND OVER",1,9123,71,8
2007,"$32,001 AND OVER",1+,33314,1184,36
2008,"$0 - $4,000",0,51027,506,10
2008,"$0 - $4,000",1,11759,489,42
2008,"$0 - $4,000",1+,5415,264,49
2008,"$4,001 - $8,000",0,94210,1859,20
2008,"$4,001 - $8,000",1,32680,3500,107
2008,"$4,001 - $8,000",1+,14419,1820,126
2008,"$8,001 - $12,000",0,64835,809,12
2008,"$8,001 - $12,000",1,60682,8745,144
2008,"$8,001 - $12,000",1+,35580,7323,206
2008,"$12,001 - $16,000",0,14212,65,5
2008,"$12,001 - $16,000",1,47663,6824,143
2008,"$12,001 - $16,000",1+,54424,12972,238
2008,"$16,001 - $20,000",0,0,0,1
2008,"$16,001 - $20,000",1,0,0,127
2008,"$16,001 - $20,000",1+,36978,8204,222
2008,"$20,001 - $24,000",0,0,0,0
2008,"$20,001 - $24,000",1,36025,3492,97
2008,"$20,001 - $24,000",1+,31300,5700,182
2008,"$24,001 - $28,000",0,0,0,1
2008,"$24,001 - $28,000",1,0,0,66
2008,"$24,001 - $28,000",1+,28213,3938,140
2008,"$28,001 - $32,000",0,0,0,0
2008,"$28,001 - $32,000",1,28815,984,34
2008,"$28,001 - $32,000",1+,26119,2542,97
2008,"$32,001 AND OVER",0,23,0,1
2008,"$32,001 AND OVER",1,14728,173,12
2008,"$32,001 AND OVER",1+,37858,1618,43
2009,"$0 - $4,000",0,48243,505,10
2009,"$0 - $4,000",1,12888,520,40
2009,"$0 - $4,000",2,4785,228,48
2009,"$0 - $4,000",2+,1339,69,52
2009,"$4,001 - $8,000",0,98706,2052,21
2009,"$4,001 - $8,000",1,36157,3847,106
2009,"$4,001 - $8,000",2,12669,1590,126
2009,"$4,001 - $8,000",2+,3369,474,141
2009,"$8,001 - $12,000",0,72150,1115,15
2009,"$8,001 - $12,000",1,73740,10864,147
2009,"$8,001 - $12,000",2,29396,5930,202
2009,"$8,001 - $12,000",2+,8742,2002,229
2009,"$12,001 - $16,000",0,22200,222,10
2009,"$12,001 - $16,000",1,47576,7067,149
2009,"$12,001 - $16,000",2,45567,11170,245
2009,"$12,001 - $16,000",2+,14162,3928,277
2009,"$16,001 - $20,000",0,3631,39,11
2009,"$16,001 - $20,000",1,38474,5302,138
2009,"$16,001 - $20,000",2,29015,6816,235
2009,"$16,001 - $20,000",2+,10209,2761,270
2009,"$20,001 - $24,000",0,104,13,122
2009,"$20,001 - $24,000",1,35191,3929,112
2009,"$20,001 - $24,000",2,23821,4834,203
2009,"$20,001 - $24,000",2+,8541,2110,247
2009,"$24,001 - $28,000",0,66,7,107
2009,"$24,001 - $28,000",1,31504,2536,81
2009,"$24,001 - $28,000",2,21451,3461,161
2009,"$24,001 - $28,000",2+,7182,1463,204
2009,"$28,001 - $32,000",0,44,3,70
2009,"$28,001 - $32,000",1,27509,1339,49
2009,"$28,001 - $32,000",2,19152,2285,119
2009,"$28,001 - $32,000",2+,6483,1027,158
2009,"$32,001 - $36,000",0,41,1,35
2009,"$32,001 - $36,000",1,21345,452,21
2009,"$32,001 - $36,000",2,17720,1369,77
2009,"$32,001 - $36,000",2+,6096,707,116
2009,"$36,001 - $40,000",0,0,0,30
2009,"$36,001 - $40,000",1,0,0,19
2009,"$36,001 - $40,000",2,0,0,39
2009,"$36,001 - $40,000",2+,5065,387,76
2009,"$40,001 - $44,000",0,0,0,14
2009,"$40,001 - $44,000",1,0,0,3
2009,"$40,001 - $44,000",2,0,0,29
2009,"$40,001 - $44,000",2+,3683,155,42
2009,"$44,001 - $48,000",0,0,0,0
2009,"$44,001 - $48,000",1,0,0,18
2009,"$44,001 - $48,000",2,0,0,7
2009,"$44,001 - $48,000",2+,1647,38,23
2009,"$48,001 AND OVER",0,0,0,0
2009,"$48,001 AND OVER",1,0,0,0
2009,"$48,001 AND OVER",2,0,0,0
2009,"$48,001 AND OVER",2+,75,0,2
2010,"$0 - $4,000",0,49219,493,10
2010,"$0 - $4,000",1,13343,529,40
2010,"$0 - $4,000",2,4841,222,46
2010,"$0 - $4,000",2+,1326,67,50
2010,"$4,001 - $8,000",0,101448,2100,21
2010,"$4,001 - $8,000",1,34935,3717,106
2010,"$4,001 - $8,000",2,12348,1559,126
2010,"$4,001 - $8,000",2+,3342,472,141
2010,"$8,001 - $12,000",0,76126,1130,15
2010,"$8,001 - $12,000",1,67045,9932,148
2010,"$8,001 - $12,000",2,28099,5675,202
2010,"$8,001 - $12,000",2+,8631,1975,229
2010,"$12,001 - $16,000",0,23882,201,8
2010,"$12,001 - $16,000",1,46184,6842,148
2010,"$12,001 - $16,000",2,44631,11004,247
2010,"$12,001 - $16,000",2+,16090,4473,278
2010,"$16,001 - $20,000",0,3753,18,5
2010,"$16,001 - $20,000",1,37975,5194,137
2010,"$16,001 - $20,000",2,28272,6639,235
2010,"$16,001 - $20,000",2+,11267,3042,270
2010,"$20,001 - $24,000",0,0,0,1
2010,"$20,001 - $24,000",1,34587,3838,111
2010,"$20,001 - $24,000",2,23324,4741,203
2010,"$20,001 - $24,000",2+,0,0,247
2010,"$24,001 - $28,000",0,0,0,1
2010,"$24,001 - $28,000",1,30470,2456,81
2010,"$24,001 - $28,000",2,0,0,161
2010,"$24,001 - $28,000",2+,0,0,204
2010,"$28,001 - $32,000",0,0,0,1
2010,"$28,001 - $32,000",1,26830,1325,49
2010,"$28,001 - $32,000",2,18757,2246,120
2010,"$28,001 - $32,000",2+,0,0,159
2010,"$32,001 - $36,000",0,0,0,1
2010,"$32,001 - $36,000",1,20685,441,21
2010,"$32,001 - $36,000",2,16657,1304,78
2010,"$32,001 - $36,000",2+,0,0,118
2010,"$36,001 - $40,000",0,0,0,0
2010,"$36,001 - $40,000",1,3554,69,20
2010,"$36,001 - $40,000",2,12607,502,40
2010,"$36,001 - $40,000",2+,4974,381,77
2010,"$40,001 - $44,000",0,0,0,0
2010,"$40,001 - $44,000",1,339,1,2
2010,"$40,001 - $44,000",2,3679,109,30
2010,"$40,001 - $44,000",2+,3565,151,42
2010,"$44,001 - $48,000",0,0,0,0
2010,"$44,001 - $48,000",1,0,0,0
2010,"$44,001 - $48,000",2,819,6,7
2010,"$44,001 - $48,000",2+,1666,40,24
2010,"$48,001 AND OVER",0,0,0,1
2010,"$48,001 AND OVER",1,0,0,0
2010,"$48,001 AND OVER",2,0,0,1
2010,"$48,001 AND OVER",2+,0,0,2
2011,"$0 - $4,000",0,55142,549,10
2011,"$0 - $4,000",1,12590,498,40
2011,"$0 - $4,000",2,4380,199,45
2011,"$0 - $4,000",2+,1229,63,51
2011,"$4,001 - $8,000",0,101576,2098,21
2011,"$4,001 - $8,000",1,32825,3485,106
2011,"$4,001 - $8,000",2,11280,1409,125
2011,"$4,001 - $8,000",2+,3142,443,141
2011,"$8,001 - $12,000",0,78569,1204,15
2011,"$8,001 - $12,000",1,74415,11204,151
2011,"$8,001 - $12,000",2,24742,5021,203
