year,Income Range,Number of Children,Number of Claims,Credit Claimed,Avg Credit,Poverty Line
2004,"$0 - $4,000",0,49020,443,9,13333
2004,"$0 - $4,000",1,15110,644,43,17982
2004,"$0 - $4,000",2 or more,7598,381,50,22925
2004,"$4,001 - $8,000",0,81895,1417,17,13333
2004,"$4,001 - $8,000",1,49561,5449,110,17982
2004,"$4,001 - $8,000",2 or more,22051,2777,126,22925
2004,"$8,001 - $12,000",0,42935,334,8,13333
2004,"$8,001 - $12,000",1,52150,6690,128,17982
2004,"$8,001 - $12,000",2 or more,47435,9453,199,22925
2004,"$12,001 - $16,000",0,529,1,1,13333
2004,"$12,001 - $16,000",1,44196,5430,123,17982
2004,"$12,001 - $16,000",2 or more,43957,9084,207,22925
2004,"$16,001 - $20,000",0,0,0,0,13333
2004,"$16,001 - $20,000",1,41419,3976,96,17982
2004,"$16,001 - $20,000",2 or more,35470,6070,171,22925
2004,"$20,001 - $24,000",0,0,0,0,13333
2004,"$20,001 - $24,000",1,37663,2483,66,17982
2004,"$20,001 - $24,000",2 or more,33466,4356,130,22925
2004,"$24,001 - $28,000",0,0,0,0,13333
2004,"$24,001 - $28,000",1,32415,1127,35,17982
2004,"$24,001 - $28,000",2 or more,31750,2832,89,22925
2004,"$28,001 - $32,000",0,0,0,0,13333
2004,"$28,001 - $32,000",1,15692,177,11,17982
2004,"$28,001 - $32,000",2 or more,28909,1395,48,22925
2004,"$32,001 AND OVER",0,0,0,0,13333
2004,"$32,001 AND OVER",1,0,0,0,17982
2004,"$32,001 AND OVER",2 or more,14593,219,15,22925
2005,"$0 - $4,000",0,47902,440,9,14468
2005,"$0 - $4,000",1,14235,686,48,18880
2005,"$0 - $4,000",2 or more,7158,480,67,23292
2005,"$4,001 - $8,000",0,81608,1457,18,14468
2005,"$4,001 - $8,000",1,46025,5111,111,18880
2005,"$4,001 - $8,000",2 or more,18340,2322,127,23292
2005,"$8,001 - $12,000",0,51229,437,9,14468
2005,"$8,001 - $12,000",1,52851,6957,132,18880
2005,"$8,001 - $12,000",2 or more,44313,8957,202,23292
2005,"$12,001 - $16,000",0,2478,8,3,14468
2005,"$12,001 - $16,000",1,45450,5803,128,18880
2005,"$12,001 - $16,000",2 or more,45371,9717,214,23292
2005,"$16,001 - $20,000",0,0,0,0,14468
2005,"$16,001 - $20,000",1,41278,4279,104,18880
2005,"$16,001 - $20,000",2 or more,36623,6755,184,23292
2005,"$20,001 - $24,000",0,0,0,0,14468
2005,"$20,001 - $24,000",1,37456,2731,73,18880
2005,"$20,001 - $24,000",2 or more,33180,4710,142,23292
2005,"$24,001 - $28,000",0,0,0,0,14468
2005,"$24,001 - $28,000",1,32138,1336,42,18880
2005,"$24,001 - $28,000",2 or more,31104,3143,101,23292
2005,"$28,001 - $32,000",0,0,0,5,14468
2005,"$28,001 - $32,000",1,22034,324,15,18880
2005,"$28,001 - $32,000",2 or more,28243,1682,60,23292
2005,"$32,001 AND OVER",0,0,0,0,14468
2005,"$32,001 AND OVER",1,863,3,4,18880
2005,"$32,001 AND OVER",2 or more,19764,433,22,23292
2006,"$0 - $4,000",0,46566,428,9,14742
2006,"$0 - $4,000",1,15189,853,56,19535
2006,"$0 - $4,000",2 or more,10068,1027,102,23761
2006,"$4,001 - $8,000",0,87412,1600,18,14742
2006,"$4,001 - $8,000",1,43810,4849,111,19535
2006,"$4,001 - $8,000",2 or more,17487,2224,127,23761
2006,"$8,001 - $12,000",0,57788,549,9,14742
2006,"$8,001 - $12,000",1,60353,8208,136,19535
2006,"$8,001 - $12,000",2 or more,46776,9635,206,23761
2006,"$12,001 - $16,000",0,2870,13,4,14742
2006,"$12,001 - $16,000",1,48553,6478,133,19535
2006,"$12,001 - $16,000",2 or more,51296,11405,222,23761
